|PESTERLOG|
dave|TG|o jestes
dave|TG|john wspominal ze twoj dom sie pali czy cos
dave|TG|wiec jak leci
dave|TG|palisz sie czy jeszcze nie
rose|TT|Jeszcze nie. Narazie udało mi się zbiec do mniejszego budynku.
rose|TT|Jest on znacząco bliżej pożaru.
dave|TG|uff kamien z serca mi spadl
dave|TG|john mi polecil ogarniecie kopii gry by ciebie stamtad wyciagnac
dave|TG|wiec rozpracowywuje to teraz
rose|TT|Rozpracowywujesz to?
dave|TG|tak tak kopia mojego brata bla bla bla dluga historia
dave|TG|ej wogole
dave|TG|nie mow tego johnowi ale chyba mial racje odnosnie kukielek
dave|TG|bo powoli tak troche zaczynaja mi ryc banie
rose|TT|Odnosisz się teraz do kolekcji Twojego brata?
dave|TG|w sensie nie mowie ze to nie jest fajne
dave|TG|to semi-ironiczne kolekcjonowanie lalek kukielek marionetek etc
dave|TG|moze nawet semi-semi ironiczne
dave|TG|sam nie wiem ile semi- musze tam wcisnac
dave|TG|po prostu sadze ze w pewnych aspektach idzie to za daleko i jest to troche dziwne i pojebane
rose|TT|Widziałam jego stronki.
rose|TT|Podobały mi się.
dave|TG|haha oczywiscie ze TOBIE by sie podobaly
dave|TG|o ja pierdole cal sie na mnie tak patrzy swoimi martwymi oczami
dave|TG|zawsze sie na mnie patrzy i mam dosyc
dave|TG|czasami snie o tym ze rozmawia ze mna i jest zywy i wogole i budze sie w zimnym pocie i mam taki rozpierdol mentalny
rose|TT|Hm, interesujące...
dave|TG|chwila zaraz czemu ci o tym mowie
dave|TG|ja pierdole to ci pewnie zasili cale tygodnie psychologizowania mnie
rose|TT|Mogę Ciebie zapewnić, iż mój psychoanalityczny dziennik na Twój temat powiększa się o kilka stron z minuty na minutę w wyniku tejże konwersacji. Spodziewaj się opublikowanych artykułów na tenże temat w niedalekiej przyszłości.
rose|TT|Na szczęście nie mamy nic innego do roboty i możemy wzajemnie wytykać sobie wady i analizować nasze pustoszące patologie tyle tylko ile chcemy.
dave|TG|ano chyba bede sie zbierac
dave|TG|jak tam john cos do ciebie pisal
dave|TG|bo na moje wiadomosci nie odpowiada
rose|TT|Mi również nie odpowiada.
rose|TT|Natomiast widzę go u siebie na laptopie.
rose|TT|Z tegoż powodu mogę Ciebie poinformować iż jest on aktualnie zajęty tym, że duch jego babci, w przebraniu klauna, jest odpowiedzialny za wiadro zimnej wody, które się przed chwilą właśnie wylało na jego głowę.
dave|TG|hahahahaha
dave|TG|dobra spadam
dave|TG|czesc
