|PESTERLOG|
systemMessage|-- gardenGnostic [jade|GG] zaczęła udręczać turntechGodhead [dave|TG] o godzinie 18:36 --

jade|GG|hej dave!!!
dave|TG|siema co tam
jade|GG|nic tam zbytnio, a ty jak siemasz?
jade|GG|hehehe
dave|TG|haha nawet niezle to bylo
dave|TG|jest ok na czilu wiesz jak to idzie
jade|GG|swietnie! czujesz sie cool dzis??
jade|GG|panie mccool?
dave|TG|ol jea czaisz baze jest supi cool
jade|GG|wrecz turbo coooooooooool!!!
dave|TG|jest tak zimno ze normalnie zakurwiscie zajebiste jest
dave|TG|takiego coola jeszcze swiat nie widzial
jade|GG|:D
jade|GG|pisales dzis juz z johnem???
dave|TG|tia rozmawialismy przed chwila o tym jak mocno ten dzieciak ssie w sylladeksy
dave|TG|wyobraz sobie on uzywa stosu jebanego
dave|TG|on jest dziwaczny czasami
jade|GG|lol
jade|GG|nie brzmi on za fajnie!
dave|TG|czego ty uzywalas...
dave|TG|dobra nie
dave|TG|nie chce wchodzic w twoje fikusne modusy dostaje od nich migreny. jaka sprawe masz z johnem
jade|GG|:)
jade|GG|chce mu zazyczyc wszystkiego najlepszego i spytac sie o moj prezent!
dave|TG|a tak
dave|TG|podeszlem do tego nie wprost i spytalem sie tajemniczo by sprawdzil swoja poczte bo zastanawiam sie czy moj juz doszedl
jade|GG|podejrzewam ze doszedl!
dave|TG|czaje
jade|GG|i moj chyba tez przyszedl
dave|TG|i chcesz zapewne wiedziec czy on go polubil czy cos?
jade|GG|nie!!!!!!!
jade|GG|on go nie otworzy
jade|GG|on go utraci!!!
dave|TG|oh
dave|TG|um
dave|TG|przykro mi to slyszec?
jade|GG|nie to jest dobrze!
jade|GG|odnajdzie go ponownie w momencie wielkiej potrzeby
jade|GG|i wlasnie dlatego mu go wyslalam!
dave|TG|ok dobra
dave|TG|nigdy nie ogarniam skad wiesz te rzeczy
jade|GG|nie wiem
jade|GG|po prostu wiem ze wiem!
dave|TG|hmm okej
jade|GG|dobra musze leciec!
jade|GG|bec musi byc nakarmiony a to jest male przedwzieciecie
dave|TG|ok posluchaj mnie
dave|TG|gdybym byl toba to bym mu odstrzelil po prostu leb i tyle
jade|GG|heheheh!
jade|GG|nie bylabym w stanie nawet jakbym chciala!!!
dave|TG|nom
dave|TG|powiedz hej twojemu dziadkowi odemnie ok
jade|GG|._.
jade|GG|spotkanie z nim jest nieuniknione
jade|GG|jest zazwyczaj........
jade|GG|intensywne!!!
dave|TG|ano tak bywa z rodzina
dave|TG|brzmi jak porzadny wymiatacz
jade|GG|hehe totalnie jest nim!!!
jade|GG|dobra lece juz!
dave|TG|see ya
jade|GG|<3
