|PESTERLOG|
dave|TG|dobra
dave|TG|wyszlem z mojego pokoju i szukam bety brata
john|EB|ah, świetnie!
john|EB|rose wciąż nie jest online, mam nadzieję że wszystko z nią ok.
dave|TG|jezeli przyjdzie z powrotem to ja bede juz gotowy
dave|TG|mam nadzieje ze wiesz o czym mowisz bo ta operacja moze skonczyc sie zle
dave|TG|mam swojego fona oraz swoja zajebista katane w razie gdybym musial jej uzyc
dave|TG|a praktycznie zawsze w takich sytuacjach musze jej uzyc
john|EB|chodzi ci o to gówno które masz na ścianie?
dave|TG|cicho
dave|TG|jest ostre zajebiste i jest to katana kurwa mac
dave|TG|koniec kropka
john|EB|dobra i tak mnie to nie obchodzi narazie.
john|EB|jestem z powrotem w moim pokoju, i myślę że ktoś tu jest oprócz mnie.
john|EB|jakby jakieś potwory czy coś.
dave|TG|howie???
john|EB|haha CHCIAŁBYM.
dave|TG|stary potwory nie istnieja
dave|TG|to glupie rzeczy dla glupich dzieciaczkow
john|EB|w sumie masz rację.
dave|TG|kim ty jestes idiota
dave|TG|oczywiscie ze w twoim domu grasuja potwory
dave|TG|przeciez jestes w jakims dziwnym swiecie pelnym potworow
dave|TG|to nie jest jakis durny film
dave|TG|'tato mamo pod moim lozkiem jest potwor' 'tak tak synku wracaj do lozka'
dave|TG|jebcie sie mamo i tato ile razy zostawicie swojego synka na pastwe losu to nie bylo smieszne nawet gdy pierwszy raz to zobaczylem
dave|TG|chcialbym choc raz zobaczyc pelne portki taty po tym jak synek powiedzial mu ze w szafie jest wampir czy cos
dave|TG|"O KUZWA WSZYSCY DO MINIVANA"
dave|TG|normalnie tata roku lub nawet calego kurwa stulecia lub millenium
john|EB|dobra przestań!
john|EB|co mam robić?
dave|TG|co ty tam masz mlotek
dave|TG|licha bron
dave|TG|dobra walic to
dave|TG|sprobuj walczyc za pomoca swojego sylladeksu czy cos
dave|TG|brachol ciagle o tym pierdoli na lewo i prawo ale mnie gowno to obchodzi
dave|TG|jezeli jednak jestes otoczony potworami to nie masz wiekszego wyboru
john|EB|hmm...
john|EB|okej, dalej poduczę się struktur danych.
john|EB|a jak tam tobie idzie?
dave|TG|jestem w salonie on tam zwykle jest
dave|TG|ale ja go nie widze
dave|TG|znowu pewnie bawi sie w jakiegos jebanego ninja ze mna
dave|TG|widze tylko cala wiec nie moze byc daleko
john|EB|hahaha.
john|EB|ja nie mogę.
john|EB|JAKI LAMER.
dave|TG|co czemu
dave|TG|kogo ty niby nazywasz lamerem
john|EB|widzisz...
john|EB|ja po prostu nie wiem czemu sądzisz że to jest fajne.
john|EB|jego rapująco-lalkowate coś.
dave|TG|lil cal? jeb sie
dave|TG|lil cal jest zajebisty
john|EB|spoko, możesz mieć swoją opinię. ja tylko mówię że białoskóry raper z dziwną rapującą laleczką nie jest fajny w żadnym miejscu we wszechświecie, a nawet poza nim.
dave|TG|pieprzysz glupoty
dave|TG|cal rzadzi
dave|TG|lalki marionetki i kukielki rzadza
dave|TG|john egbert ssie
dave|TG|koniec bajki
john|EB|tak, na pewno. to przeciwieństwa tych rzeczy są prawdziwe!
john|EB|idę czytać.
john|EB|powodzenia z twoim bratem.
