|PESTERLOG|
rose|TT|Czy wiesz, iż na świecie istnieją kultury uważające brak pogardy dla zaproszeń damy do wspólnej gry za symbol prostackiego dysrespektu?
rose|TT|Ewentualnie nieopętanego homoseksualizmu.
dave|TG|o nie
dave|TG|nie teraz
dave|TG|jestem zajety ok?
dave|TG|wiesz przecie ze gruba ryba jest ze mnie
rose|TT|Niewątpliwie.
rose|TT|Czasami zastanawiam się, jak ci się udaje spożywać posiłki w spokoju w restauracjach.
rose|TT|Trudne musi być samoopanowanie gdy co pięć sekund słyszysz "spójrz, to ten koleś co prowadzi bloga na Internecie!" wokół siebie.
dave|TG|serio
dave|TG|wrecz modla sie do mnie na lewo i prawo
dave|TG|nie moge nawet normalnie po chodniku lazic bez potykania sie o torsy tlumu
rose|TT|Nawigacja terenu zurbanizowanego jest i tak wystarczająco trudna bez toru przeszkód złożonego z masy oddańców wypinających dupska w kierunku nieba.
rose|TT|Być może poprawnie zaadapowany do danej sytuacji parkour mógłby ulżyć twoim problemom?
dave|TG|no i kurwa mnie rozumiesz!
dave|TG|jest jakis maly smarkacz rozwalony przedemna
dave|TG|sierota jakas czy cos
dave|TG|wpycha swoja facjate w ziemie
dave|TG|ja takie koles
dave|TG|boisz sie ze jakies bizony nakurwiaja z dala czy cos?
dave|TG|a on patrzy sie odwaznie na mnie, caluje mojego buta i spierdala jakby zostawil odpalona kuchenke w sierocincu czy gdzie tam mieszka
rose|TT|Taki jest los ciążących koronę.
dave|TG|dokladnie
dave|TG|codziennie udaje mi sie obdarzyc zycie nie zasadzaniu przypadkowego kopa oliwerowi twistowi prosto w twarz
rose|TT|Najlitościwsza dobroć!
dave|TG|oczywiscie to nie jest jedyne dobre co robie
dave|TG|bysmy tu stali kilkadziesiat lat gdybym chcial wypisac wszystko co daje swiatu
dave|TG|tyle tego jest
rose|TT|Dokładnie. Nigdy nie odważy się skończyć tobie twoje pudło bycia zajebistym.
rose|TT|Tyle dajesz, a mimo wszystko tak dużo jeszcze masz do dania.
dave|TG|oj tak tyle jeszcze rzeczy czeka ze
dave|TG|zaraz
dave|TG|ty probujesz mnie po prostu wpedzic w zagranie z toba w ta durna gre co nie
rose|TT|Bezpodstawne oskarżenie!
dave|TG|mowie ci
dave|TG|egbert normalnie sie SLINI na temat tej gry
dave|TG|zagraj po prostu z nim
rose|TT|Dobrze o tym wiem.
rose|TT|A teraz wytłumacz to listonoszowi.
dave|TG|no tak tak spozniaja sie z tym
dave|TG|bede z nim w kontakcie
dave|TG|zrobmy tak
dave|TG|jezeli nie wiem jakies meteory zaczna napierdalac w ciebie czy ogolem apokalipsa do ciebie przyjdzie ala te posrane filmy egbertowskie czy cos
dave|TG|to z toba zagram
dave|TG|pasuje ci to
rose|TT|I to jak.
rose|TT|Nawet zapokoiło to mój niezmierny marazm związany ze śmiercią rycerskich maner.
dave|TG|ok cool
