
|PESTERLOG|
rose|TT|Doszły mnie słuchy dotyczące zdobycia przez ciebie wersji beta nowej "Gry Roku", która została zrecenzowana przez takie popularne i respektowane tygodniki jak Magazyn GameBro.
john|EB|to jest nieprawdziwa plotka.
john|EB|osoba która przekazała ci tą plotkę to wierutny kłamca.
john|EB|i proponuje ci przestać z nim flirtować.
rose|TT|Cóż, trudno mi się powstrzymać.
rose|TT|Najwyraźniej mam słabość do wkurwiających chujów.
john|EB|w każdym razie może jest w poczcie ale mój tata ją ma.
john|EB|pójdę po nią zejść teraz, więc brb.
rose|TT|John?
john|EB|co?
rose|TT|Aktualnie masz na sobie jakieś przebranie, czyż nie?
rose|TT|W tym samym czasie, gdy odpowiadasz na moje wiadomości, nosisz coś gamoniowatego.
john|EB|nie. skąd ci to przyszło do głowy??
john|EB|w życiu bym nie zrobił takiej głupoty.
rose|TT|Ok.
rose|TT|Proponuję wcielić plan odebrania gry od twojego ojca w życie.
john|EB|okej, życz mi powodzenia.
john|EB|a, i jeszcze jedno...
john|EB|wkręciłem cię, nosiłem przebranie w trakcie tej całej rozmowy!
john|EB|hehehehe!
rose|TT|Wiem, John.
