
|PESTERLOG|
john|EB|to coś ciągle za mną podąża.
john|EB|chyba próbuje mi coś powiedzieć.
rose|TT|To zapewne jest "Pierwradnik".
rose|TT|Przynajmniej jeżeli wierzyć poradnikom, z których korzystam.
rose|TT|Odnoszą się też do procesu "wtchnięcia", który najprawdopodobniej się aplikuje do tejże istoty.
rose|TT|Niestety nic nie jest dokładnie w nich wyjaśnione, po części dlatego że są napisane na poziomie przedszkolnym.
john|EB|ich jakość jest taka zła?
rose|TT|Ścierwo w postaci pisanej.
john|EB|oh, uh, wow.
john|EB|w każdym razie, ty jesteś kursorem więc rób co uważasz że będzie dobre.
john|EB|a, i napraw moją łazienkę!
