|PESTERLOG|
rose|TT|Wróciłam.
john|EB|szybko otwórz drzwi!!!!
john|EB|chociaż i tak pewnie już wszystko przesrane, gówno zrobimy i umrę!!
rose|TT|Spokojnie. Nie użyłeś jeszcze totemu.
john|EB|???
rose|TT|Sądze iż przedmiot, który on stworzy, pozwoli nam Ciebie uratować.
john|EB|na karcie jest jakieś jabłko, niby jak ma nam pomóc??
rose|TT|Zobaczymy.
rose|TT|Poradniki nie wskazują na to by ktokolwiek był w stanie stworzyć przedmiot z karty perforowanej.
rose|TT|Co jest również ważne, obrazek na karcie jest inny w każdym przypadku.
rose|TT|Jeden poradnik opisał go jako "cos jajwoatego" [sic].
john|EB|czy starczy nam tego czegoś budowniczego?
rose|TT|Ateneum określa je jako darmowy przedmiot.
rose|TT|To dla mnie wystarczający dowód, że to jabłko jest ważne.
rose|TT|A teraz zmykaj.

