
|PESTERLOG|
john|EB|hej, jestem teraz na balkonie.
john|EB|piszę do ciebie z pda mojego taty.
rose|TT|Ten który wyrzuciłeś na podwórko? 
john|EB|nie, mówię ci.
john|EB|wyskoczył mi z sylladexu jak przestraszona łasica.
rose|TT|Na pierwszym miejscu, co ty z nim robiłeś?
rose|TT|Nie wyczuwam zbyt dużo uwagi dla osobistości innych.
rose|TT|Czy tak twoja stłumiona frustracja z twoim ojcem się wyjawia?
john|EB|co? nie.
john|EB|to wszystko były wypadki.
john|EB|proszę weź swoje psychotyczne gadanie gdzieś indziej, paniusiu!
rose|TT|Twoja toaleta to katastrofa.
rose|TT|Czy ty też to zrobiłeś?
john|EB|oh chłopie, widzisz to nie jest spoko.
john|EB|ten cały wcibski nonsens.
rose|TT|W toalecie jest ciasto.
john|EB|tak. tam jest.
rose|TT|Kusi mnie by to za ciebie posprzątać.
john|EB|ok, jeśli to zaspokoi twój dziwny ocd komplex to proszę bardzo.
rose|TT|Moje Zaburzenie Obsesyjno-kompulsyjne?
rose|TT|Czy dolegliwość może być też kompleksem?
john|EB|w twoim wypadku, prawdopodobnie!
rose|TT|Brzmi skomplikowanie.
john|EB|w każdym razie…
john|EB|pójdę zobaczyć tą ogromną rzecz na platformie którą położyłaś na balkonie.
