|PESTERLOG|
john|EB|wciąż nie rozumiem co to coś papla.
rose|TT|Spokojnie, podobno to był dopiero "pierwszy poziom" wtchnięcia.
rose|TT|Według poradników istnieje jeszcze drugi poziom.
rose|TT|...który równie dobrze może tylko zwiększyć ezoteryczność językową tej istoty.
john|EB|dobra, trudno, mamy odliczanie na karku.
john|EB|nie mamy czasu na jakieś głupie szpasy z tym czymś.
rose|TT|Na te bezmyślne bezeceństwa?
john|EB|na te durne gałgaństwa!
john|EB|ok stop.
john|EB|nie wysyłaj kolejnej śmiesznej rzeczy którą zapewne piszesz.
john|EB|pójdę na górę zobaczyć jak działa ta wielka platforma.
rose|TT|W sensie, Alchemiter?
john|EB|??
rose|TT|Tak się nazywa "ta wielka platforma".
rose|TT|Próbuj używać sburbowskiego żargonu.
