
|PESTERLOG|

dave|TG|jest tam
dave|TG|prosze powiedz ze jest tam
dave|TG|moze bys mogl zagrac z TT ona mnie spami tym
dave|TG|tak mocno do mnie podrywa ze zaczyna byc mi jej zal
dave|TG|oczywiscie ja jej nie winie za pociag do mnie
john|EB|tak, ja też to rozumiem bo jesteś bardzo przystojny. ja również czuje pociąg do ciebie.
dave|TG|dzieki
john|EB|haha żartowałem.
john|EB|nie, jeszcze jej nie mam.
john|EB|mój tata wziął pocztę i musiałbym do niego zejść zobaczyć co w niej jest.
john|EB|poza tym całe popołudnie męczyłem się z tym pieprzonym sylladeksem.
john|EB|tak trochę mam już go dosyć.
dave|TG|jaki masz modus
john|EB|jakie mam co?
dave|TG|jak chowasz i bierzesz z niego przedmioty
john|EB|jakby moge tylko jeden przedmiot naraz. i jak za dużo wezmę to wypadają.
dave|TG|stos??? hahahahahaha
john|EB|a ty jaki masz?
dave|TG|tablica mieszajaca
dave|TG|moj brat mnie poduczyl kilku trikow zna sie na wszystkim i jest ogolnie zajebisty
john|EB|tablica mieszająca? co to kurwa jest.
dave|TG|chyba dobry czas sie poduczyc struktur danych
john|EB|no ok.
dave|TG|czy przyporzadkowales sobie przynajmniej specybus starcia
john|EB|nie.
dave|TG|pozwoli ci to zwolnic jedna karte
dave|TG|+ bedziesz mogl atakowac wtedy kiedy sytuacja stanie sie intensywna
dave|TG|czyli u ciebie nigdy
dave|TG|co masz do wyboru
john|EB|mam młotek ale mam go pod atrapowymi ramionami.
dave|TG|wow ale w to ssiesz
dave|TG|pozbadz sie ramion jakos po prostu i przyporzadkuj mlotek do specybusu
john|EB|jak?
dave|TG|nie wiem uzyj ich na czymkolwiek by moc dostac sie do mlotka
