
|PESTERLOG|
rose|TT|Teraz, skoro Twój pokój jest większy, czy mógłbyś umiejscowić się w kącie?
rose|TT|To zwiększy zasięg mojego kursora, przez co będę mogła dosięgnąć Twoich przedmiotów.
rose|TT|Które... leżą rozwalone na podwórku.
john|EB|dobry pomysł!
rose|TT|Co Ty robiłeś przez całe popołudnie?
john|EB|ugh, pieprzyłem się z moim głupim sylladeksem.
john|EB|ale myślę, że już ogarnąłem jak działa.
john|EB|w ogóle, jakiego modusu używasz?
rose|TT|Aktualnie używam drzewek.
john|EB|o nie, brzmi skomplikowanie.
rose|TT|Definitywnie nie są zbyt praktyczne.
rose|TT|Natomiast, według mnie, mają w sobie jakąś elegancję.
