
|PESTERLOG|
systemMessage|-- turntechGodhead [dave|TG] zaczął udręczać ectoBiologist [john|EB] o godzinie 16:13 --

dave|TG|hej jakimi to szalonymi prezentami zostales dzisiaj zasypany
john|EB|dostałem plakat z małych potworów. muszę to jeszcze raz obejrzeć, nawet jeżeli tylko dla sceny z sokiem jabłkowym.
dave|TG|o rany ale zbieg okolicznosci wlasnie znalazlem nieotwarty sok jablkowy w mojej szafce normalnie boze narodzenie
john|EB|ok to fajnie, ale mam jedno pytanie a po nim przestrogę. czy kiedykolwiek widziałeś film małe potwory w którym grali howie mandel oraz fred savage?
dave|TG|ale
dave|TG|zakretka jest wklesla
dave|TG|czy ty sugerujesz ze ktos w fabryce naszczal do mojego soku
john|EB|a czy nie myślisz, że howie mandel jako potwór może mieć moc otwarcia i zamknięcia czegoś bez naruszenia zakrętki w ramach psikusa?
john|EB|może kiedyś użyj swojego mózgu.
dave|TG|dlaczego ten gruby dzieciak lub ktos tam inny wiedzial jak smakuja siki
dave|TG|jego reakcja byla natychmiastowa
john|EB|to był piętnasty dzień z rzędu w którym howie mandel nasikał do jego soku.
dave|TG|ok niech bedzie
dave|TG|skurwiele z kiepskich komedii grane przez celebrytow sa uporczywymi zartownisiami
dave|TG|poza tym jak widze freda savage to chce mu przypierdolic w twarz
dave|TG|ale kogo to obchodzi przestanmy o tym gadac
dave|TG|masz juz bete
john|EB|nie.
john|EB|a ty?
dave|TG|stary mam juz dwie kopie
dave|TG|ale mam ja w dupie nie bede w nia grac
dave|TG|widziales jak ja ochrzanili w game bro????
john|EB|game bro to żart i każdy o tym wie.
dave|TG|tak na pewno
dave|TG|hej moze twoja beta przyszla dobrym pomyslem byloby sprawdzenie
john|EB|ok.
