|PESTERLOG|
dave|TG|siema pracuje nad zajebistym bitem chcesz posluchac
john|EB|nie, nie mam czasu na twoje debilne rapowanie!
dave|TG|spokojnie one wymiataja normalnie w gacie popuscisz
john|EB|czy ty wogóle wierzysz w to, że meteor miał we mnie przywalić?!
john|EB|bo prawie przywalił ale zwiałem z pomocą rose i teraz jestem w jakimś dziwnym, ciemnym świecie.
john|EB|i teraz chyba jeszcze moja zmarła babcia mnie nawiedza zza grobu!
dave|TG|huh
dave|TG|serio
john|EB|tak, serio, a teraz muszę lecieć!
dave|TG|moze ogarne jakis dobry kawalek o tym okej
john|EB|stary, musisz ogarnąć że twoje rapowanie nie jest aż tak "cool" aż myślisz.
dave|TG|nie nie nie czekaj ja ci ogarne cos cool nie boj zaby
john|EB|muszę lecieć! pa!
dave|TG|chwila
dave|TG|armageddon grozi nam niebezpieczenstwem
dave|TG|ale ja tu jestem i param sie zolnierstwem
dave|TG|by wyslac bohaterow by zniszczyc zaglade
dave|TG|zobaczyc kto wygra dzielnosci olimpiade
dave|TG|ben or bruce? ludzie wezcie sztucce
dave|TG|zjedzmy obiad pokoju a nie waszego gnoju
dave|TG|posiecenie afflecka, tzn poswiecenie
dave|TG|kurwa
dave|TG|affleck na krzyzu, za grzechy ludzkosci
dave|TG|a bruce ma to w dupie i jest mistrzem szybkosci
dave|TG|nakurwia jakies gowno a buscemi pali se ziolo
dave|TG|ten plan poszedl w bagno puknijcie sie wszyscy w czolo
dave|TG|nic tylko wszyscy uzywaja lezanek
dave|TG|a ziemie uratowac chce tylko mackochanek
dave|TG|to znaczy mcchogany lub jak mu tam
dave|TG|chwila on nie byl w filmie co nie
dave|TG|dobra to byl trening teraz na serio zarapuje o
dave|TG|nie wiem moze morgan freeman bylby spoko tematem
dave|TG|"juz nikogo nie obchodza czarnoskorzy prezydenci. dzieki obama."
dave|TG|kurwa wez gadaj o czyms innym niz twoich glupich filmach
dave|TG|zaczyna brakowac mi tematow do rapow
